personality,category,tweet,class,timestamp,source,engagement,retweets,likes,tweet_length,word_count,hashtag_count,mention_count,url_count
Joe Biden,political_leaders,Unity in diversity is our strength. Celebrating our rich cultural heritage. #India,2,2025-09-10 12:51:08,synthetic,11022,3316,22383,82,12,1,0,0
Joe Biden,political_leaders,Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress (1/2),2,2025-09-10 12:51:08,synthetic,32085,3996,1069,105,16,1,0,0
Joe Biden,political_leaders,BREAKING: Anti-national elements trying to destabilize our growth. We stand united against them.,0,2025-09-10 12:51:08,synthetic,81110,6800,27561,96,13,0,0,0
Joe Biden,political_leaders,International delegation visit concluded successfully. @JoeBiden,2,2025-09-10 12:51:08,synthetic,8097,5673,3246,64,6,0,1,0
Joe Biden,political_leaders,"Those who question our policies have never served the people. Actions matter, not words. @JoeBiden",1,2025-09-10 12:51:08,synthetic,30108,692,20456,98,15,0,1,0
Joe Biden,political_leaders,BREAKING: Reviewing quarterly progress reports from various ministries.,2,2025-09-10 12:51:08,synthetic,81662,5924,36661,71,8,0,0,0
Joe Biden,political_leaders,Meeting with citizens today was inspiring. Your voices matter in our democracy. #PublicService - via official handle,2,2025-09-10 12:51:08,synthetic,99550,6369,15079,116,17,1,0,0
Joe Biden,political_leaders,📢 Meeting with citizens today was inspiring. Your voices matter in our democracy. #PublicService,2,2025-09-10 12:51:08,synthetic,88486,2648,22957,96,14,1,0,0
Joe Biden,political_leaders,Attended the G20 summit today. Discussed global economic cooperation.,2,2025-09-10 12:51:08,synthetic,5410,614,3765,69,9,0,0,0
Joe Biden,political_leaders,Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress (1/2),2,2025-09-10 12:51:08,synthetic,55870,5184,38544,105,16,1,0,0
Joe Biden,political_leaders,BREAKING: Technology and innovation will drive our future. Supporting startups and entrepreneurs. #Innovation,2,2025-09-10 12:51:08,synthetic,62086,127,16787,109,13,1,0,0
Joe Biden,political_leaders,"Those who question our policies have never served the people. Actions matter, not words. - via official handle",0,2025-09-10 12:51:08,synthetic,172,1824,19981,110,18,0,0,0
Joe Biden,political_leaders,PROUD TO ANNOUNCE NEW INITIATIVES FOR DIGITAL INDIA. TOGETHER WE BUILD A STRONGER NATION! #PROGRESS,2,2025-09-10 12:51:08,synthetic,15638,3006,16016,99,15,1,0,0
Joe Biden,political_leaders,BREAKING: Opposition parties spreading misinformation again. Facts speak louder than propaganda.,1,2025-09-10 12:51:08,synthetic,81236,9506,34665,96,11,0,0,0
Joe Biden,political_leaders,RT @supporter: International delegation visit concluded successfully.,2,2025-09-10 12:51:08,synthetic,74938,456,29676,69,7,0,1,0
Joe Biden,political_leaders,Education and healthcare remain our top priorities. Every citizen deserves the best. #Development @JoeBiden,2,2025-09-10 12:51:08,synthetic,7809,365,3819,107,14,1,1,0
Joe Biden,political_leaders,CRITICS FAIL TO SEE THE TRANSFORMATION HAPPENING. HISTORY WILL JUDGE WHO STOOD WITH PROGRESS.,1,2025-09-10 12:51:08,synthetic,27386,2127,45814,93,14,0,0,0
Joe Biden,political_leaders,RT @supporter: Parliament session begins tomorrow. Important bills to be discussed.,2,2025-09-10 12:51:08,synthetic,28594,7390,24294,83,11,0,1,0
Joe Biden,political_leaders,BREAKING: Corrupt politicians trying to mislead the public. Their days are numbered.,0,2025-09-10 12:51:08,synthetic,4884,8637,33564,84,12,0,0,0
Joe Biden,political_leaders,PARLIAMENT SESSION BEGINS TOMORROW. IMPORTANT BILLS TO BE DISCUSSED.,2,2025-09-10 12:51:08,synthetic,1991,701,54,68,9,0,0,0
Joe Biden,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda. @JoeBiden,1,2025-09-10 12:51:08,synthetic,13605,3809,7065,96,11,0,1,0
Joe Biden,political_leaders,Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress @JoeBiden,2,2025-09-10 12:51:08,synthetic,57806,9840,13975,109,16,1,1,0
Joe Biden,political_leaders,Education and healthcare remain our top priorities. Every citizen deserves the best. #Development,2,2025-09-10 12:51:08,synthetic,87080,2088,11235,97,13,1,0,0
Barack Obama,political_leaders,Congratulations to our athletes for making the nation proud! Your dedication inspires millions. @BarackObama,2,2025-09-10 12:51:08,synthetic,91920,811,22913,108,14,0,1,0
Barack Obama,political_leaders,EDUCATION AND HEALTHCARE REMAIN OUR TOP PRIORITIES. EVERY CITIZEN DESERVES THE BEST. #DEVELOPMENT,2,2025-09-10 12:51:08,synthetic,59143,7582,3564,97,13,1,0,0
Barack Obama,political_leaders,Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress @BarackObama,2,2025-09-10 12:51:08,synthetic,86020,6345,5705,112,16,1,1,0
Barack Obama,political_leaders,International delegation visit concluded successfully. @BarackObama,2,2025-09-10 12:51:08,synthetic,86164,1419,37321,67,6,0,1,0
Barack Obama,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress. #India,0,2025-09-10 12:51:08,synthetic,7829,9339,9345,100,15,1,0,0
Barack Obama,political_leaders,BREAKING: International delegation visit concluded successfully.,2,2025-09-10 12:51:08,synthetic,50727,5852,8227,64,6,0,0,0
Barack Obama,political_leaders,RT @supporter: Congratulations to our athletes for making the nation proud! Your dedication inspires millions.,2,2025-09-10 12:51:08,synthetic,19354,5192,41472,110,15,0,1,0
Barack Obama,political_leaders,Education and healthcare remain our top priorities. Every citizen deserves the best. #Development #India,2,2025-09-10 12:51:08,synthetic,89755,6743,34842,104,14,2,0,0
Barack Obama,political_leaders,RT @supporter: Technology and innovation will drive our future. Supporting startups and entrepreneurs. #Innovation,2,2025-09-10 12:51:08,synthetic,14978,8272,2825,114,14,1,1,0
Barack Obama,political_leaders,📢 Infrastructure development continues at record pace. Connecting every corner of the nation.,2,2025-09-10 12:51:08,synthetic,97527,8624,4364,93,13,0,0,0
Barack Obama,political_leaders,BREAKING: Youth empowerment is key to national progress. Launching new skill development programs.,2,2025-09-10 12:51:08,synthetic,8805,2805,15531,98,13,0,0,0
Barack Obama,political_leaders,Infrastructure development continues at record pace. Connecting every corner of the nation. (1/2),2,2025-09-10 12:51:08,synthetic,77681,5447,33833,97,13,0,0,0
Barack Obama,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda. #India,0,2025-09-10 12:51:08,synthetic,86750,4964,40652,93,11,1,0,0
Barack Obama,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda. (1/2),1,2025-09-10 12:51:08,synthetic,55970,5185,10003,92,11,0,0,0
Barack Obama,political_leaders,"THOSE WHO QUESTION OUR POLICIES HAVE NEVER SERVED THE PEOPLE. ACTIONS MATTER, NOT WORDS.",0,2025-09-10 12:51:08,synthetic,63328,8880,41031,88,14,0,0,0
Barack Obama,political_leaders,BREAKING: Technology and innovation will drive our future. Supporting startups and entrepreneurs. #Innovation,2,2025-09-10 12:51:08,synthetic,19595,675,8416,109,13,1,0,0
Barack Obama,political_leaders,📢 Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress,2,2025-09-10 12:51:08,synthetic,63051,8549,33048,101,16,1,0,0
Barack Obama,political_leaders,BREAKING: Congratulations to our athletes for making the nation proud! Your dedication inspires millions.,2,2025-09-10 12:51:08,synthetic,26075,5496,22118,105,14,0,0,0
Barack Obama,political_leaders,RT @supporter: Youth empowerment is key to national progress. Launching new skill development programs.,2,2025-09-10 12:51:08,synthetic,43478,1726,3913,103,14,0,1,0
Barack Obama,political_leaders,📢 Anti-national elements trying to destabilize our growth. We stand united against them.,1,2025-09-10 12:51:08,synthetic,32439,9840,10955,88,13,0,0,0
Barack Obama,political_leaders,Technology and innovation will drive our future. Supporting startups and entrepreneurs. #Innovation 🇮🇳,2,2025-09-10 12:51:08,synthetic,6392,314,15278,102,13,1,0,0
Barack Obama,political_leaders,CRITICS FAIL TO SEE THE TRANSFORMATION HAPPENING. HISTORY WILL JUDGE WHO STOOD WITH PROGRESS.,0,2025-09-10 12:51:08,synthetic,80995,4942,12366,93,14,0,0,0
Barack Obama,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth. #India,2,2025-09-10 12:51:08,synthetic,95779,3568,49409,95,15,1,0,0
Barack Obama,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress. @BarackObama,1,2025-09-10 12:51:08,synthetic,27502,4865,42573,106,15,0,1,0
Barack Obama,political_leaders,Anti-national elements trying to destabilize our growth. We stand united against them. 🇮🇳,0,2025-09-10 12:51:08,synthetic,67881,2116,18651,89,13,0,0,0
Barack Obama,political_leaders,BREAKING: Meeting scheduled with cabinet ministers to review policy implementation.,2,2025-09-10 12:51:08,synthetic,5511,2261,26416,83,10,0,0,0
Boris Johnson,political_leaders,📢 Corrupt politicians trying to mislead the public. Their days are numbered.,0,2025-09-10 12:51:08,synthetic,31998,668,13714,76,12,0,0,0
Boris Johnson,political_leaders,Technology and innovation will drive our future. Supporting startups and entrepreneurs. #Innovation,2,2025-09-10 12:51:08,synthetic,7887,4801,46976,99,12,1,0,0
Boris Johnson,political_leaders,Youth empowerment is key to national progress. Launching new skill development programs. #India,2,2025-09-10 12:51:08,synthetic,50815,8100,5878,95,13,1,0,0
Boris Johnson,political_leaders,📢 Our farmers are the backbone of the nation. New policies to support agricultural growth.,2,2025-09-10 12:51:08,synthetic,30684,4944,4519,90,15,0,0,0
Boris Johnson,political_leaders,Working together for sustainable development and environmental protection. #GreenFuture,2,2025-09-10 12:51:08,synthetic,26570,9422,20856,87,9,1,0,0
Boris Johnson,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered.,0,2025-09-10 12:51:08,synthetic,27675,5009,4697,74,11,0,0,0
Boris Johnson,political_leaders,Parliament session begins tomorrow. Important bills to be discussed. #India,2,2025-09-10 12:51:08,synthetic,63763,3111,19120,75,10,1,0,0
Boris Johnson,political_leaders,OUR FARMERS ARE THE BACKBONE OF THE NATION. NEW POLICIES TO SUPPORT AGRICULTURAL GROWTH.,2,2025-09-10 12:51:08,synthetic,23818,2215,9930,88,14,0,0,0
Boris Johnson,political_leaders,Congratulations to our athletes for making the nation proud! Your dedication inspires millions.,2,2025-09-10 12:51:08,synthetic,8075,712,25918,95,13,0,0,0
Boris Johnson,political_leaders,BREAKING: Critics fail to see the transformation happening. History will judge who stood with progress.,1,2025-09-10 12:51:08,synthetic,68888,3142,3993,103,15,0,0,0
Boris Johnson,political_leaders,INFRASTRUCTURE DEVELOPMENT CONTINUES AT RECORD PACE. CONNECTING EVERY CORNER OF THE NATION.,2,2025-09-10 12:51:08,synthetic,54945,2412,9302,91,12,0,0,0
Boris Johnson,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda. 🇮🇳,0,2025-09-10 12:51:08,synthetic,93814,3513,37229,89,11,0,0,0
Boris Johnson,political_leaders,BREAKING: Reviewing quarterly progress reports from various ministries.,2,2025-09-10 12:51:08,synthetic,48043,7231,16640,71,8,0,0,0
Boris Johnson,political_leaders,Proud to announce new initiatives for digital India. Together we build a stronger nation! #Progress (1/2),2,2025-09-10 12:51:08,synthetic,31372,959,38855,105,16,1,0,0
Boris Johnson,political_leaders,Youth empowerment is key to national progress. Launching new skill development programs. 🇮🇳,2,2025-09-10 12:51:08,synthetic,12522,1343,25094,91,13,0,0,0
Boris Johnson,political_leaders,Parliament session begins tomorrow. Important bills to be discussed. (1/2),2,2025-09-10 12:51:08,synthetic,9983,9137,36576,74,10,0,0,0
Boris Johnson,political_leaders,"📢 Those who question our policies have never served the people. Actions matter, not words.",0,2025-09-10 12:51:08,synthetic,45712,8132,32742,90,15,0,0,0
Boris Johnson,political_leaders,Working together for sustainable development and environmental protection. #GreenFuture (1/2),2,2025-09-10 12:51:08,synthetic,87065,6322,34059,93,10,1,0,0
Boris Johnson,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda.,1,2025-09-10 12:51:08,synthetic,72092,2154,27926,86,10,0,0,0
Boris Johnson,political_leaders,BREAKING: Opposition parties spreading misinformation again. Facts speak louder than propaganda.,1,2025-09-10 12:51:08,synthetic,91212,3533,9602,96,11,0,0,0
Boris Johnson,political_leaders,Attended the G20 summit today. Discussed global economic cooperation. #India,2,2025-09-10 12:51:08,synthetic,14161,4496,7463,76,10,1,0,0
Boris Johnson,political_leaders,"Those who question our policies have never served the people. Actions matter, not words. #India",1,2025-09-10 12:51:08,synthetic,82704,1459,41228,95,15,1,0,0
Boris Johnson,political_leaders,Parliament session begins tomorrow. Important bills to be discussed. @BorisJohnson,2,2025-09-10 12:51:08,synthetic,46445,2620,144,82,10,0,1,0
Boris Johnson,political_leaders,Congratulations to our athletes for making the nation proud! Your dedication inspires millions. #India,2,2025-09-10 12:51:08,synthetic,98481,204,12112,102,14,1,0,0
Boris Johnson,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth.,2,2025-09-10 12:51:08,synthetic,8757,4625,8847,88,14,0,0,0
Boris Johnson,political_leaders,📢 Corrupt politicians trying to mislead the public. Their days are numbered.,1,2025-09-10 12:51:08,synthetic,50048,9739,19898,76,12,0,0,0
Emmanuel Macron,political_leaders,Unity in diversity is our strength. Celebrating our rich cultural heritage. #India 🇮🇳,2,2025-09-10 12:51:08,synthetic,81904,6317,42294,85,13,1,0,0
Emmanuel Macron,political_leaders,Congratulations to our athletes for making the nation proud! Your dedication inspires millions. @EmmanuelMacron,2,2025-09-10 12:51:08,synthetic,47681,7106,47059,111,14,0,1,0
Emmanuel Macron,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress. @EmmanuelMacron,0,2025-09-10 12:51:08,synthetic,90770,7110,12618,109,15,0,1,0
Emmanuel Macron,political_leaders,Youth empowerment is key to national progress. Launching new skill development programs. - via official handle,2,2025-09-10 12:51:08,synthetic,79887,8780,38720,110,16,0,0,0
Emmanuel Macron,political_leaders,Infrastructure development continues at record pace. Connecting every corner of the nation. - via official handle,2,2025-09-10 12:51:08,synthetic,14694,5694,401,113,16,0,0,0
Emmanuel Macron,political_leaders,Unity in diversity is our strength. Celebrating our rich cultural heritage. #India #India,2,2025-09-10 12:51:08,synthetic,8658,6172,7927,89,13,2,0,0
Emmanuel Macron,political_leaders,RT @supporter: Our farmers are the backbone of the nation. New policies to support agricultural growth.,2,2025-09-10 12:51:08,synthetic,41330,3145,19909,103,16,0,1,0
Emmanuel Macron,political_leaders,Working together for sustainable development and environmental protection. #GreenFuture 🇮🇳,2,2025-09-10 12:51:08,synthetic,96145,7980,40117,90,10,1,0,0
Emmanuel Macron,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth. (1/2),2,2025-09-10 12:51:08,synthetic,10848,9248,3934,94,15,0,0,0
Emmanuel Macron,political_leaders,Reviewing quarterly progress reports from various ministries. @EmmanuelMacron,2,2025-09-10 12:51:08,synthetic,22134,6900,36833,77,8,0,1,0
Emmanuel Macron,political_leaders,Reviewing quarterly progress reports from various ministries. @EmmanuelMacron,2,2025-09-10 12:51:08,synthetic,12943,2482,43170,77,8,0,1,0
Emmanuel Macron,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered. (1/2),1,2025-09-10 12:51:08,synthetic,67796,181,5689,80,12,0,0,0
Emmanuel Macron,political_leaders,"RT @supporter: Those who question our policies have never served the people. Actions matter, not words.",0,2025-09-10 12:51:08,synthetic,57491,688,24942,103,16,0,1,0
Emmanuel Macron,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth.,2,2025-09-10 12:51:08,synthetic,4876,6010,21588,88,14,0,0,0
Emmanuel Macron,political_leaders,Anti-national elements trying to destabilize our growth. We stand united against them. @EmmanuelMacron,0,2025-09-10 12:51:08,synthetic,32338,7549,11569,102,13,0,1,0
Emmanuel Macron,political_leaders,Unity in diversity is our strength. Celebrating our rich cultural heritage. #India @EmmanuelMacron,2,2025-09-10 12:51:08,synthetic,22244,4631,10173,98,13,1,1,0
Emmanuel Macron,political_leaders,CORRUPT POLITICIANS TRYING TO MISLEAD THE PUBLIC. THEIR DAYS ARE NUMBERED.,1,2025-09-10 12:51:08,synthetic,67628,9726,3139,74,11,0,0,0
Emmanuel Macron,political_leaders,Our farmers are the backbone of the nation. New policies to support agricultural growth. 🇮🇳,2,2025-09-10 12:51:08,synthetic,88404,8920,29424,91,15,0,0,0
Emmanuel Macron,political_leaders,BREAKING: Infrastructure development continues at record pace. Connecting every corner of the nation.,2,2025-09-10 12:51:08,synthetic,22031,4917,3124,101,13,0,0,0
Emmanuel Macron,political_leaders,Technology and innovation will drive our future. Supporting startups and entrepreneurs. #Innovation,2,2025-09-10 12:51:08,synthetic,73768,5553,29858,99,12,1,0,0
Emmanuel Macron,political_leaders,Critics fail to see the transformation happening. History will judge who stood with progress.,1,2025-09-10 12:51:08,synthetic,20399,5606,37999,93,14,0,0,0
Emmanuel Macron,political_leaders,Corrupt politicians trying to mislead the public. Their days are numbered.,1,2025-09-10 12:51:08,synthetic,7500,3268,45319,74,11,0,0,0
Emmanuel Macron,political_leaders,Opposition parties spreading misinformation again. Facts speak louder than propaganda. #India,1,2025-09-10 12:51:08,synthetic,41818,5738,18235,93,11,1,0,0
Emmanuel Macron,political_leaders,📢 Corrupt politicians trying to mislead the public. Their days are numbered.,1,2025-09-10 12:51:08,synthetic,53164,7253,28732,76,12,0,0,0
Emmanuel Macron,political_leaders,RT @supporter: Parliament session begins tomorrow. Important bills to be discussed.,2,2025-09-10 12:51:08,synthetic,11392,7577,16952,83,11,0,1,0
Emmanuel Macron,political_leaders,Technology and innovation will drive our future. Supporting startups and entrepreneurs. #Innovation - via official handle,2,2025-09-10 12:51:08,synthetic,36197,6338,11646,121,16,1,0,0
Elon Musk,business_leaders,Competitors copying our innovations again. Imitation is the sincerest form of flattery. - via official handle,1,2025-09-10 12:51:08,synthetic,66387,1488,38593,109,16,0,0,0
Elon Musk,business_leaders,Q3 earnings call scheduled for next week. Looking forward to sharing updates. (1/2),2,2025-09-10 12:51:08,synthetic,72163,7476,24079,83,13,0,0,0
Elon Musk,business_leaders,PROUD OF OUR TEAM FOR ACHIEVING RECORD QUARTERLY RESULTS. TEAMWORK MAKES THE DREAM WORK!,2,2025-09-10 12:51:08,synthetic,92816,1335,14163,88,14,0,0,0
Elon Musk,business_leaders,Regulators need to understand technology before making rules. (1/2),0,2025-09-10 12:51:08,synthetic,22439,6456,28863,67,9,0,0,0
Elon Musk,business_leaders,New office opening in Mumbai next month. (1/2),2,2025-09-10 12:51:08,synthetic,18316,486,32804,46,8,0,0,0
Elon Musk,business_leaders,RT @supporter: New office opening in Mumbai next month.,2,2025-09-10 12:51:08,synthetic,84211,6987,40955,55,9,0,1,0
Elon Musk,business_leaders,BREAKING: Proud of our team for achieving record quarterly results. Teamwork makes the dream work!,2,2025-09-10 12:51:08,synthetic,3906,3694,1160,98,15,0,0,0
Elon Musk,business_leaders,📢 Traditional industries resisting change. Disruption is inevitable.,1,2025-09-10 12:51:08,synthetic,71654,5777,2439,68,8,0,0,0
Elon Musk,business_leaders,Breaking barriers with breakthrough technology. The best is yet to come!,2,2025-09-10 12:51:08,synthetic,10954,671,43006,72,11,0,0,0
Elon Musk,business_leaders,Traditional industries resisting change. Disruption is inevitable. 🇮🇳,0,2025-09-10 12:51:08,synthetic,34675,6495,21925,69,8,0,0,0
Elon Musk,business_leaders,Board meeting concluded. Strategic decisions for next fiscal year finalized.,2,2025-09-10 12:51:08,synthetic,20615,2893,33537,76,10,0,0,0
Elon Musk,business_leaders,Traditional industries resisting change. Disruption is inevitable. @ElonMusk,0,2025-09-10 12:51:08,synthetic,17158,7178,2628,76,8,0,1,0
Elon Musk,business_leaders,Innovation happens when diverse minds collaborate. Proud of our inclusive culture. - via official handle,2,2025-09-10 12:51:08,synthetic,51809,3782,20964,104,15,0,0,0
Elon Musk,business_leaders,RT @supporter: Innovation happens when diverse minds collaborate. Proud of our inclusive culture.,2,2025-09-10 12:51:08,synthetic,42961,864,45005,97,13,0,1,0
Elon Musk,business_leaders,Excited to announce our new product launch! Innovation never stops. #Tech - via official handle,2,2025-09-10 12:51:08,synthetic,96487,2290,29294,95,15,1,0,0
Elon Musk,business_leaders,Proud of our team for achieving record quarterly results. Teamwork makes the dream work! 🇮🇳,2,2025-09-10 12:51:08,synthetic,68075,6786,25149,91,15,0,0,0
Elon Musk,business_leaders,Media misrepresenting our statements. Here are the actual facts.,1,2025-09-10 12:51:08,synthetic,14944,4624,38911,64,9,0,0,0
Elon Musk,business_leaders,Customer satisfaction is our top priority. Thank you for your trust! @ElonMusk,2,2025-09-10 12:51:08,synthetic,11457,8621,17757,78,12,0,1,0
Elon Musk,business_leaders,📢 Excited to announce our new product launch! Innovation never stops. #Tech,2,2025-09-10 12:51:08,synthetic,78102,4684,26421,75,12,1,0,0
Elon Musk,business_leaders,TRADITIONAL INDUSTRIES RESISTING CHANGE. DISRUPTION IS INEVITABLE.,1,2025-09-10 12:51:08,synthetic,14887,5499,27277,66,7,0,0,0
Elon Musk,business_leaders,RT @supporter: Competitors copying our innovations again. Imitation is the sincerest form of flattery.,1,2025-09-10 12:51:08,synthetic,75774,6219,40537,102,14,0,1,0
Elon Musk,business_leaders,BREAKING: Investing in education and skill development. The future belongs to learners.,2,2025-09-10 12:51:08,synthetic,58525,4780,27082,87,12,0,0,0
Elon Musk,business_leaders,Innovation happens when diverse minds collaborate. Proud of our inclusive culture. - via official handle,2,2025-09-10 12:51:08,synthetic,89130,6916,41542,104,15,0,0,0
Elon Musk,business_leaders,Regulators need to understand technology before making rules. @ElonMusk,0,2025-09-10 12:51:08,synthetic,60074,4518,20510,71,9,0,1,0
Elon Musk,business_leaders,Customer satisfaction is our top priority. Thank you for your trust!,2,2025-09-10 12:51:08,synthetic,84738,2155,28498,68,11,0,0,0
Elon Musk,business_leaders,Launching new initiative to support small businesses. Together we grow. #India,2,2025-09-10 12:51:08,synthetic,78851,8805,4517,78,11,1,0,0
Bill Gates,business_leaders,RT @supporter: Excited to announce our new product launch! Innovation never stops. #Tech,2,2025-09-10 12:51:08,synthetic,82728,610,9316,88,13,1,1,0
Bill Gates,business_leaders,Launching new initiative to support small businesses. Together we grow. - via official handle,2,2025-09-10 12:51:08,synthetic,13011,2115,11930,93,14,0,0,0
Bill Gates,business_leaders,Regulators need to understand technology before making rules. @BillGates,0,2025-09-10 12:51:08,synthetic,70018,1155,21438,72,9,0,1,0
Bill Gates,business_leaders,BREAKING: Competitors copying our innovations again. Imitation is the sincerest form of flattery.,0,2025-09-10 12:51:08,synthetic,63142,9771,6303,97,13,0,0,0
Bill Gates,business_leaders,Launching new initiative to support small businesses. Together we grow. #India,2,2025-09-10 12:51:08,synthetic,1624,1589,23666,78,11,1,0,0
Bill Gates,business_leaders,"BREAKING: Sustainability is not just a goal, it's our responsibility. Going carbon neutral by 2030.",2,2025-09-10 12:51:08,synthetic,27569,5194,35832,99,15,0,0,0
Bill Gates,business_leaders,Media misrepresenting our statements. Here are the actual facts.,1,2025-09-10 12:51:08,synthetic,2882,2439,43785,64,9,0,0,0
Bill Gates,business_leaders,New office opening in Mumbai next month. (1/2),2,2025-09-10 12:51:08,synthetic,99521,1733,20764,46,8,0,0,0
Bill Gates,business_leaders,Excited to announce our new product launch! Innovation never stops. #Tech,2,2025-09-10 12:51:08,synthetic,36698,4458,21047,73,11,1,0,0
Bill Gates,business_leaders,Breaking barriers with breakthrough technology. The best is yet to come! 🇮🇳,2,2025-09-10 12:51:08,synthetic,2501,5916,41717,75,12,0,0,0
Bill Gates,business_leaders,Customer satisfaction is our top priority. Thank you for your trust! (1/2),2,2025-09-10 12:51:08,synthetic,17541,9192,22870,74,12,0,0,0
Bill Gates,business_leaders,"Sustainability is not just a goal, it's our responsibility. Going carbon neutral by 2030. @BillGates",2,2025-09-10 12:51:08,synthetic,84686,7880,39981,100,15,0,1,0
Bill Gates,business_leaders,📢 Competitors copying our innovations again. Imitation is the sincerest form of flattery.,0,2025-09-10 12:51:08,synthetic,44034,4462,3972,89,13,0,0,0
Bill Gates,business_leaders,Grateful for the opportunity to serve millions of users worldwide. @BillGates,2,2025-09-10 12:51:08,synthetic,24383,6309,95,77,11,0,1,0
Bill Gates,business_leaders,BREAKING: Competitors copying our innovations again. Imitation is the sincerest form of flattery.,1,2025-09-10 12:51:08,synthetic,55962,1813,22690,97,13,0,0,0
Bill Gates,business_leaders,BREAKING: AI will transform how we live and work. Embracing the future responsibly.,2,2025-09-10 12:51:08,synthetic,61729,1001,8015,83,13,0,0,0
Bill Gates,business_leaders,Innovation happens when diverse minds collaborate. Proud of our inclusive culture. - via official handle,2,2025-09-10 12:51:08,synthetic,21688,7683,25528,104,15,0,0,0
Bill Gates,business_leaders,📢 Media misrepresenting our statements. Here are the actual facts.,1,2025-09-10 12:51:08,synthetic,39999,2536,30774,66,10,0,0,0
Bill Gates,business_leaders,📢 Short sellers spreading FUD. Our fundamentals remain strong.,0,2025-09-10 12:51:08,synthetic,50028,1658,18889,62,9,0,0,0
Bill Gates,business_leaders,Regulators need to understand technology before making rules. (1/2),1,2025-09-10 12:51:08,synthetic,57498,4209,48894,67,9,0,0,0
Bill Gates,business_leaders,"Sustainability is not just a goal, it's our responsibility. Going carbon neutral by 2030. #India",2,2025-09-10 12:51:08,synthetic,56475,1103,3680,96,15,1,0,0
Bill Gates,business_leaders,RT @supporter: Excited to announce our new product launch! Innovation never stops. #Tech,2,2025-09-10 12:51:08,synthetic,51913,9547,14301,88,13,1,1,0
Bill Gates,business_leaders,Investing in education and skill development. The future belongs to learners. @BillGates,2,2025-09-10 12:51:08,synthetic,13195,6669,45293,88,12,0,1,0
Bill Gates,business_leaders,BREAKING: Regulatory compliance review completed successfully.,2,2025-09-10 12:51:08,synthetic,57315,537,16461,62,6,0,0,0
Bill Gates,business_leaders,RT @supporter: Regulatory compliance review completed successfully.,2,2025-09-10 12:51:08,synthetic,90812,1924,26257,67,7,0,1,0
Bill Gates,business_leaders,Attending World Economic Forum. Important discussions on global trade. @BillGates,2,2025-09-10 12:51:08,synthetic,94241,6515,441,81,10,0,1,0
Sundar Pichai,business_leaders,📢 AI will transform how we live and work. Embracing the future responsibly.,2,2025-09-10 12:51:09,synthetic,8342,9714,35069,75,13,0,0,0
Sundar Pichai,business_leaders,New office opening in Mumbai next month. 🇮🇳,2,2025-09-10 12:51:09,synthetic,44125,2933,4495,43,8,0,0,0
Sundar Pichai,business_leaders,New office opening in Mumbai next month. - via official handle,2,2025-09-10 12:51:09,synthetic,54026,2933,43437,62,11,0,0,0
Sundar Pichai,business_leaders,"Sustainability is not just a goal, it's our responsibility. Going carbon neutral by 2030. 🇮🇳",2,2025-09-10 12:51:09,synthetic,74154,6181,7939,92,15,0,0,0
Sundar Pichai,business_leaders,BREAKING: AI will transform how we live and work. Embracing the future responsibly.,2,2025-09-10 12:51:09,synthetic,4456,9141,34627,83,13,0,0,0
Sundar Pichai,business_leaders,Innovation happens when diverse minds collaborate. Proud of our inclusive culture. - via official handle,2,2025-09-10 12:51:09,synthetic,64698,8980,13143,104,15,0,0,0
Sundar Pichai,business_leaders,📢 Proud of our team for achieving record quarterly results. Teamwork makes the dream work!,2,2025-09-10 12:51:09,synthetic,90043,637,49870,90,15,0,0,0
Sundar Pichai,business_leaders,Innovation happens when diverse minds collaborate. Proud of our inclusive culture. - via official handle,2,2025-09-10 12:51:09,synthetic,38596,900,8512,104,15,0,0,0
Sundar Pichai,business_leaders,COMPETITORS COPYING OUR INNOVATIONS AGAIN. IMITATION IS THE SINCEREST FORM OF FLATTERY.,1,2025-09-10 12:51:09,synthetic,16522,1105,30981,87,12,0,0,0
Sundar Pichai,business_leaders,Traditional industries resisting change. Disruption is inevitable. #India,1,2025-09-10 12:51:09,synthetic,60439,5965,35893,73,8,1,0,0
