Text,,Favorites,Retweets,Tweet ID,,,Date
"Bill O'Reilly doing a major special on @OreillyFactor tonight- @FoxNews at 8pmE. Watch it, should be good! #Trump2016",5/27/16 13:35,10675,3040,7.3625E+17,,,
"AN AMERICA FIRST ENERGY PLAN
#MakeAmericaGreatAgain #Trump2016
https://www.donaldjtrump.com/press-releases/an-america-first-energy-plan??_pic.twitter.com/WjI8Rx11no",5/27/16 10:10,13148,5036,7.36198E+17,,,
Poll data shows that @marcorubio does by far the best in holding onto his Senate seat in Florida. Important to keep the MAJORITY. Run Marco!,5/26/16 22:09,22538,6498,7.36016E+17,,,
"Today we, together, won the Republican Nomination for President! https://www.instagram.com/p/BF41LOUmhRp/?",5/26/16 18:57,26001,9107,7.35968E+17,,,
"My wife @MELANIATRUMP, and my children will be featured on @FoxNews with @Greta- 7pmE. Enjoy!
#MeetTheTrumps #Trump2016",5/26/16 18:22,13420,3097,7.35959E+17,,,
"Celebrating 1237! #Trump2016
https://instagram.com/p/BF4raEHmhag/?",5/26/16 17:30,14003,4511,7.35946E+17,,,
Thank you! #Trump2016http://bigstory.ap.org/article/a382673514394788b45cfc109d0febe4/mister-1237-north-dakota-delegate-puts-trump-over-top??_,5/26/16 17:28,11968,4063,7.35946E+17,,,
"I find it offensive that Goofy Elizabeth Warren, sometimes referred to as Pocahontas, pretended to be Native American to get in Harvard.",5/26/16 17:15,29608,10628,7.35942E+17,,,
Thank you Mr. & Mrs. @TomBarrackJr for the wonderful and magical evening last night. It will not be forgotten. #Trump2016,5/26/16 14:59,9082,2182,7.35908E+17,,,
.@kimguilfoyle- just watched you on @OutnumberedFNC- thank you!,5/26/16 12:35,9476,2247,7.35872E+17,,,
The Inspector General's report on Crooked Hillary Clinton is a disaster. Such bad judgement and temperament cannot be allowed in the W.H.,5/26/16 9:18,22667,7948,7.35822E+17,,,
"Thank you Anaheim, California!
#Trump2016pic.twitter.com/AEShamhNVS",5/25/16 19:18,19479,5666,7.35611E+17,,,
"Thank you Washington! Honored to say, on behalf of our great movement, we have broken the all time record for votes in GOP primary history.",5/25/16 14:42,26111,8186,7.35542E+17,,,
"The protesters in New Mexico were thugs who were flying the Mexican flag. The rally inside was big and beautiful, but outside, criminals!",5/25/16 9:39,35296,12975,7.35465E+17,,,
Crooked Hillary Clinton just can't close the deal with Bernie. I had to knock out 16 very good and smart candidates. Hillary doesn't have it,5/25/16 9:14,24584,7915,7.35459E+17,,,
"Goofy Senator Elizabeth Warren @elizabethforma has done less in the U.S. Senate than practically any other senator. All talk, no action!",5/25/16 8:31,15997,4906,7.35448E+17,,,
"@elizabethforma  Goofy Elizabeth Warren, sometimes known as Pocahontas, bought foreclosed housing and made a quick killing. Total hypocrite!",5/25/16 8:17,7955,4085,7.35445E+17,,,
"""@gordonsr1052:  Washington, BIG Thank You for supporting Trump! We are all going to help Trump Make America Great Again! Trump2016!""",5/25/16 1:47,10930,2850,7.35347E+17,,,
"""@buiIdthewall: @realDonaldTrump high energy!""",5/25/16 1:45,8178,1996,7.35346E+17,,,
"""@PiperSul: Great speech tonight Mr.Trump! Good Luck in California! Thank you.",5/25/16 1:45,7988,1838,7.35346E+17,,,
"""@DeepakS76435750: @realDonaldTrump congratulations from India""",5/25/16 1:42,6923,1680,7.35345E+17,,,
"""@oasisupernova: @realDonaldTrump UP TO 8.4 MILLION FOLLOWERS. CAN'T STOP THE #TrumpTrain  #MakeAmericaGreatAgain""",5/25/16 1:42,9724,2705,7.35345E+17,,,
"""@jknatter: @realDonaldTrump #TrumpTrain""",5/25/16 1:41,5210,1173,7.35345E+17,,,
"""@tcloer11: @realDonaldTrump Great job! Make America Great Again!""",5/25/16 1:41,6234,1438,7.35345E+17,,,
"@elizabethforma Goofy Elizabeth Warren, sometimes referred to as Pocahontas because she faked the fact she is native American, is a lowlife!",5/25/16 1:37,5041,2162,7.35344E+17,,,
"Great rally in New Mexico, amazing crowd! Now in L.A. Big rally in Anaheim.",5/25/16 1:12,11820,3199,7.35338E+17,,,
"Thank you Washington! #Trump2016
#MakeAmericaGreatAgainpic.twitter.com/v9glTwj6gy",5/24/16 23:26,15042,4830,7.35311E+17,,,
Great honor to receive today's endorsement of @RickSantorum. Really nice! #Trump2016,5/24/16 20:33,16100,4820,7.35267E+17,,,
"After raising, w/ no obligation, almost $6M for Vets, I couldn't believe protesters formed @ Trump Tower. JUST OUT- SENT BY CROOKED HILLARY!",5/24/16 20:32,15646,5084,7.35267E+17,,,
Thank you @DailyMail- for setting the failing @NYTimes story straight. This is what the NYT's should have written!http://www.dailymail.co.uk/news/article-3607052/The-sexist-boss-Trump-critic-Barbara-Res-REALLY-thought-turned-Donald-got-rid-refused-hire-back.html??_,5/24/16 17:00,12532,5506,7.35214E+17,,,
A suggestion for the dishonest media- https://www.instagram.com/p/BFy12zpmhc9/?,5/24/16 11:09,9654,3816,7.35126E+17,,,
A wonderfully written article concerning Israel by @JasonDovEsqhttp://blogs.timesofisrael.com/a-trump-presidency-means-a-safer-israel/??_,5/24/16 11:03,8760,3562,7.35124E+17,,,
A great new book has been written about Crooked Hillary. Read it & you will never be able to vote for her. @Ed_Kleinhttp://www.amazon.com/Unlikeable-Problem-Hillary-Edward-Klein/dp/1621573788??_,5/24/16 10:35,13054,6572,7.35117E+17,,,
"Crooked Hillary Clinton overregulates, overtaxes and doesn't care about jobs. Most importantly, she suffers from plain old bad judgement!",5/24/16 7:42,20222,7030,7.35074E+17,,,
"I just released my financial disclosure forms, the largest numbers in the history of the F.E.C. Even the dishonest media thinks great!",5/24/16 6:41,17273,5341,7.35058E+17,,,
"Amazingly, with all of the money I have raised for the vets, I have got nothing but bad publicity from the dishonest and disgusting media.",5/23/16 22:50,24689,8034,7.3494E+17,,,
"Much of the money I have raised for our veterans has already been distributed, with the rest to go shortly to various other veteran groups.",5/23/16 22:46,17611,5125,7.34939E+17,,,
"While under no obligation to do so, I have raised between 5 & 6 million dollars, including 1million dollars from me, for our VETERANS. Nice!",5/23/16 22:38,25279,7164,7.34937E+17,,,
"Join me in California or Montana!
5/25/16: Anaheim, California
http://bit.ly/20nwDoeANAHEIM?
5/26/16: Billings, Montana
http://bit.ly/22mHf8nMONTANA?",5/23/16 20:25,8308,3098,7.34903E+17,,,
I will be interviewed on @oreillyfactor at 8:00 P.M. Enjoy!,5/23/16 19:42,9054,2111,7.34892E+17,,,
"Obama?? VA Secretary just said we shouldn't measure
wait times. Hillary says VA problems are not ??idespread.??I will take care of
our vets!",5/23/16 13:15,22085,7587,7.34795E+17,,,
Is Hillary really protecting women? https://www.instagram.com/p/BFwTioiGhQj/?,5/23/16 11:32,10923,4483,7.34769E+17,,,
"In trade, military and EVERYTHING else, it will be AMERICA FIRST! This will quickly lead to our ultimate goal: MAKE AMERICA GREAT AGAIN!",5/23/16 9:46,22509,8362,7.34742E+17,,,
Thank you America! #Trump2016pic.twitter.com/xfINxdRNiQ,5/22/16 18:54,31561,12183,7.34518E+17,,,
The American people are sick and tired of not being able to lead normal lives and to constantly be on the lookout for terror and terrorists!,5/22/16 16:44,26076,9090,7.34485E+17,,,
Bernie Sanders is continuing his quest because he believes that Crooked Hillary Clinton will be forced out of the race - e-mail scandal!,5/22/16 16:32,21509,6211,7.34482E+17,,,
"Join me on Wednesday, May 25th at the Anaheim Convention Center!
#Trump2016 #MAGA 
Tickets: http://bit.ly/20nwDoeANAHEIM?pic.twitter.com/xGkVbxTamz",5/22/16 15:46,9666,3678,7.34471E+17,,,
Crooked Hillary wants a radical 500% increase in Syrian refugees. We can?? allow this. Time to get smart and protect America!,5/22/16 15:38,24547,9915,7.34468E+17,,,
"How can Crooked Hillary say she cares about women when she is silent on radical Islam, which horribly oppresses women?",5/22/16 15:37,29367,13120,7.34468E+17,,,
Why do the networks continue to put dopey @BillKristol on panels when he has called every single shot about me wrong for 2 yrs?,5/22/16 10:47,15418,5126,7.34395E+17,,,
Hillary Clinton is not qualified to be president because her judgement has been proven to be so bad! Would be four more years of stupidity!,5/22/16 8:47,31531,10973,7.34365E+17,,,
Crooked Hillary said that I  want guns brought into the school classroom. Wrong!,5/21/16 23:55,19289,6121,7.34231E+17,,,
"""@dubilujane: I trust @realDonaldTrump more anyone ever to protect America.He WILL do the right thing for the U.S.A, without a  doubt.",5/21/16 23:44,10893,3045,7.34228E+17,,,
Thank you to all of the men and women who have served our country. You are our true heroes! #ArmedForcesDaypic.twitter.com/A3Wus0cRIO,5/21/16 16:13,28974,10312,7.34115E+17,,,
"Crooked Hillary Clintons foreign interventions unleashed ISIS in Syria, Iraq and Libya. She is reckless and dangerous!",5/21/16 13:02,17882,7448,7.34067E+17,,,
MAKE AMERICA GREAT AGAIN!pic.twitter.com/MAZK5bdZuD,5/21/16 13:00,28000,10422,7.34066E+17,,,
".@CNN is so negative, getting even worse as I get closer. Just had two anti-Trump losers with zero rebuttal from my team. Turning off!",5/21/16 12:08,15613,4664,7.34053E+17,,,
"""@RBacliff: Hillary wants to rip the guns out of America's hands. No guns = no protection. Get on #TrumpTrain & join @NRA to stop her.""",5/21/16 9:34,14342,5122,7.34014E+17,,,
Crooked Hillary wants to get rid of all guns and yet she is surrounded by bodyguards who are fully armed. No more guns to protect Hillary!,5/21/16 8:49,40730,16254,7.34003E+17,,,
"While our wonderful president was out playing golf all day, the TSA is falling apart, just like our government! Airports a total disaster!",5/21/16 6:56,24226,8709,7.33975E+17,,,
Crooked Hillary is spending tremendous amounts of Wall Street money on false ads against me. She is a very dishonest person!,5/20/16 21:56,21682,7147,7.33839E+17,,,
Crooked Hillary Clinton wants to essentially abolish the 2nd Amendment. No gun owner can ever vote for Clinton!,5/20/16 21:51,21386,8471,7.33838E+17,,,
Thank you @TheTodaysGolfer for the wonderful statement that "the new par 3 9th hole @Trump Turnberry could be the most dramatic in Britain.",5/20/16 20:44,8175,1962,7.33821E+17,,,
"@montgomeriefdn  Colin, great to have you at Trump Turnberry. So proud of you and your GREAT playing! You made winning MAJORS look easy!",5/20/16 19:36,3377,1171,7.33804E+17,,,
"""@montgomeriefdn: @TrumpTurnberry Best Links Course in Britain. Ailsa Course opens June '16 Can't wait to play it pic.twitter.com/HnQbj3ipuS""",5/20/16 19:27,8467,2013,7.33801E+17,,,
Thank you for your wonderful endorsement today @TGowdySC. It means a great deal to me. We will not disappoint! #Trump2016,5/20/16 18:50,14012,4915,7.33792E+17,,,
"Great day in Kentucky with Wayne LaPierre, Chris Cox & the @NRA! 
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/aJ7s0aqqj0",5/20/16 17:55,15665,4821,7.33778E+17,,,
Thank you! An honor to be the first candidate ever endorsed by the @NRA- prior to @GOPconvention! #Trump2016 #2Ahttps://twitter.com/nra/status/733731153719525377??_,5/20/16 16:06,17622,7026,7.33751E+17,,,
Failing @NYTimes will always take a good story about me and make it bad. Every article is unfair and biased. Very sad!,5/20/16 12:11,12479,3791,7.33692E+17,,,
"Thanks @piersmorgan! 
""Trump is the most unpredictable, extraordinary, entertaining&massively popular candidate this country has ever seen.""",5/20/16 12:09,15852,4896,7.33691E+17,,,
Crooked Hillary Clinton- discussing the #SecondAmendment at a private event. #2A cc: @NRApic.twitter.com/vV31Pbpkmn,5/20/16 11:36,12239,6759,7.33683E+17,,,
I am on my way! See you all soon!https://twitter.com/nra/status/733656029322457088??_,5/20/16 11:15,8165,2776,7.33677E+17,,,
"""A Call for Unity"" by Jason Greenblatt @JasonDovEsqhttps://medium.com/@jgreenblatt/a-call-for-unity-2e7a33eceef3#.k45jbtw9t??_",5/20/16 10:30,6444,2153,7.33666E+17,,,
Crooked Hillary can't even close the deal with Bernie - and the Dems have it rigged in favor of Hillary. Four more years of this? No way!,5/20/16 6:26,20709,6504,7.33605E+17,,,
Crooked Hillary Clinton looks presidential? I don't think so! Four more years of Obama and our country will never come back. ISIS LAUGHS!,5/20/16 6:08,18935,6308,7.336E+17,,,
"Look where the world is today, a total mess, and ISIS is still running around wild. I can fix it fast, Hillary has no chance!",5/20/16 5:58,17578,6049,7.33598E+17,,,
"Crooked Hillary has zero imagination and even less stamina. ISIS, China, Russia and all would love for her to be president. 4 more years!",5/20/16 5:47,14832,4844,7.33595E+17,,,
I said that Crooked Hillary Clinton is "not qualified" to be president because she has "very bad judgement" - Bernie said the same thing!,5/20/16 5:40,17389,5573,7.33593E+17,,,
Thank you @LtStevenLRogers. We will respond to terrorism with strength in 2017!https://amp.twimg.com/v/55610e7e-e370-4f5e-a031-0098a264184d??_,5/19/16 15:36,13062,5086,7.33381E+17,,,
How quality a woman is Rowanne Brewer Lane to have exposed the @nytimes as a disgusting fraud?  Thank you Rowanne.,5/19/16 13:29,18117,5252,7.33349E+17,,,
"Looks like yet another terrorist attack. Airplane departed from Paris. When will we get tough, smart and vigilant? Great hate and sickness!",5/19/16 6:27,36432,13031,7.33243E+17,,,
My list of potential U.S. Supreme Court Justices was very well recieved. During the next number of weeks I may be adding to the list!,5/18/16 22:52,16880,4707,7.33128E+17,,,
Some low-life journalist claims that I "made a pass" at her 29 years ago. Never happened! Like the @nytimes story which has become a joke!,5/18/16 21:54,16453,4718,7.33113E+17,,,
"#MakeAmericaGreatAgain #Trump2016
http://bit.ly/1R9vMkzFoxNewsPoll??_pic.twitter.com/YZAdAndKXv",5/18/16 19:14,12884,4976,7.33073E+17,,,
Thank you Louisiana! #Trump2016pic.twitter.com/u8hhrRRFMp,5/18/16 13:47,15204,4967,7.32991E+17,,,
"Thank you Arizona! See you soon!
#MakeAmericaGreatAgainpic.twitter.com/IC3pe5lRAS",5/18/16 13:38,14163,4329,7.32989E+17,,,
Why did Clinton supporter @AlisonForKY declare Crooked Hillary winner in KY when AP hasn't even called the race?,5/18/16 12:39,11342,3573,7.32974E+17,,,
Bernie Sanders is being treated very badly by the Democrats - the system is rigged against him. Many of his disenfranchised fans are for me!,5/18/16 7:20,21517,7440,7.32894E+17,,,
"Paul Begala, the dopey @CNN flunky and head of the Pro-Hillary Clinton Super PAC, has knowingly committed fraud in his first ad against me.",5/18/16 0:22,13437,4873,7.32788E+17,,,
"""@ShoneeP: @realDonaldTrump Trump for President! Bernie is a joke, knows nothing - and Hillary is yesterday's and today's nightmare""",5/18/16 0:03,10064,3107,7.32784E+17,,,
"""@MagicMetalNinja:  The Trump movement will not be stopped. We support Trump because he is a true American looking out for #AmericaFIRST.""",5/17/16 23:46,11722,3861,7.32779E+17,,,
"Congratulations to THE MOVEMENT, we have just won THE GREAT STATE OF OREGON. The vote percentage is even higher than anticipated! Thank you.",5/17/16 23:24,22384,6483,7.32774E+17,,,
"Thank you Oregon! #Trump2016
#MakeAmericaGreatAgainpic.twitter.com/hK1yqlp9ca",5/17/16 23:15,15600,4986,7.32771E+17,,,
"""@LouDobbs: Hillary Just Handed @realDonaldTrump a Huge Gift: Promising to Put Bubba in Charge of the Economy! #MakeAmericaGreatAgain!",5/17/16 22:41,10395,3687,7.32763E+17,,,
"""@sandrajeanne48: No way I believe Trump at 70% disapproval with women. Went to 3 rallies. At least 1/2 women. MSM LIES @TheFive""",5/17/16 22:40,10595,3583,7.32763E+17,,,
"Michael Barbaro, the author of the now discredited @nytimes hit piece on me with women, has in past tweeted badly about me. He should resign",5/17/16 22:38,10186,3135,7.32762E+17,,,
"""@michael_favreau: @JIS3 @realDonaldTrump He will destroy Hillary but why give CNN record breaking ratings CNN can go to hell. Trump 2016""",5/17/16 22:14,7738,2214,7.32756E+17,,,
"I look so forward to debating Crooked Hillary Clinton! Democrat Primaries are rigged, e-mail investigation is rigged - so time to get it on!",5/17/16 21:53,22265,8153,7.32751E+17,,,
I can't believe that @CNN would allow the very nice Jeffrey Lord to be savaged by a panel of seven Trump haters. 7 to 1 - Don't watch CNN!,5/17/16 21:49,13075,4409,7.3275E+17,,,
"""@COWBOYSFORTRUMP: @ChristiChat @Rockprincess818 @realDonaldTrump That man is a pillar of strength and will be perfect as our next president",5/17/16 21:37,7337,2061,7.32747E+17,,,
"Well, that is it. Well done Megyn --- and they all lived happily ever after! Now let us all see how ""THE MOVEMENT"" does in Oregon tonight!",5/17/16 21:04,15959,3985,7.32739E+17,,,
Will go back on for a final question now!,5/17/16 20:57,6453,1135,7.32737E+17,,,
"""@jrector34: @realDonaldTrump Amazing job""",5/17/16 20:56,5056,922,7.32737E+17,,,
"""@mai_Ttag:  Great interview! Happy you had a chance to show the other side of you. Never change, never forget you are our messenger!""",5/17/16 20:56,7382,1784,7.32736E+17,,,
I like Michael Douglas!,5/17/16 20:53,8753,2396,7.32736E+17,,,
"""@thydanielflores: .@megynkelly @realDonaldTrump Best interview that I have ever seen.",5/17/16 20:48,5676,1178,7.32735E+17,,,
"""@CostaKenneth: @megynkelly @realDonaldTrump Great interview Megyn""",5/17/16 20:47,5254,1044,7.32734E+17,,,
"""@svhlevi: @DiamondandSilk @realJeffreyLord @realDonaldTrump @CNN and we love you Diamond and Silk""  I do also!",5/17/16 20:47,5793,1422,7.32734E+17,,,
"""@johnjohnlacca: Donald u have done a terrific job so far on the interview. Cannot wait until u r president #MegynKellyPresents",5/17/16 20:45,6419,1432,7.32734E+17,,,
"""@markgruber1960: @megynkelly @realDonaldTrump That's why he is so successful. He is driven to succeed""  True!",5/17/16 20:43,5656,1274,7.32733E+17,,,
"""@ladytsbrug: Lovely interview, Mr. Trump! @realDonaldTrump"" Thanks.",5/17/16 20:43,4898,1020,7.32733E+17,,,
"""@Janik1968: @realDonaldTrump @SpeakerRyan Watched the Megan Kelly special and I must say..it was very well done on both their parts""",5/17/16 20:42,5528,1203,7.32733E+17,,,
"""@KaceyIlliot1669: @realDonaldTrump We actually really do love you!"" Great!",5/17/16 20:41,5002,1042,7.32733E+17,,,
"""@johnkirtley:  @megynkelly @realDonaldTrump #MakeAmericaGreatAgain Thank you for this discourse. Wounds have been healed. Great job!""",5/17/16 20:41,5242,1153,7.32733E+17,,,
"""@jlund04: @megynkelly @realDonaldTrump it was refreshing to see you both in a different light. Well done.""",5/17/16 20:40,5130,1031,7.32733E+17,,,
"""@FrankDallasAgg: @megynkelly @realDonaldTrump Trump is a great man and is FIGHTING for We The People!""",5/17/16 20:37,6169,1684,7.32732E+17,,,
"""@LADYJOANNE: @megynkelly @realDonaldTrump we need Trump more then ever Megyn. Thanks.",5/17/16 20:35,5271,1175,7.32731E+17,,,
"""@LADYJOANNE: @megynkelly @realDonaldTrump we need Trump more then ever Megan Please don't lose it for America for us!""",5/17/16 20:34,4891,1060,7.32731E+17,,,
"""@curtandkaren: Kudos to @megynkelly and @realDonaldTrump for rising above the drama and coming together. Very respectful and classy """,5/17/16 20:33,6899,1635,7.32731E+17,,,
"""@gerriweth: @megynkelly @realDonaldTrump Made me feel good to hear you both so gracious. Great job""",5/17/16 20:32,5276,1086,7.32731E+17,,,
"""@SandraR67758219: @realDonaldTrump You are a fighter and we LOVE that about you! Don't listen to these people who want you to change!""",5/17/16 20:32,5935,1501,7.3273E+17,,,
"""@longbyfive: @realDonaldTrump great interview with @megynkelly !"" Thanks.",5/17/16 20:29,5376,1029,7.3273E+17,,,
"""@HFFoundation4: @realDonaldTrump One thing we know for sure @BernieSanders supporters will turn to #Trump - absolutely not @HillaryClinton""",5/17/16 20:28,6166,1693,7.3273E+17,,,
"""@wesleyfelixpsi: @realDonaldTrump speaks from the heart 4 all of America.His intention is for a positive future 4 all. @FoxNews @megynkelly",5/17/16 20:27,5622,1479,7.32729E+17,,,
"""@manakoa:DonaldTrump, you are fearless! This interview shows you are the Leader we need. @megynkelly is a tough interview! Respect to both""",5/17/16 20:26,7134,1553,7.32729E+17,,,
"""@ragdollive: @megynkelly @realDonaldTrump what's with the soft wimpy questions?!? It's not a therapy session ..!!"" Not really soft at all!",5/17/16 20:15,4804,1033,7.32726E+17,,,
"""@xGodfatherxzx: @realDonaldTrump amazing on Megan Kelly"" Thanks.",5/17/16 20:14,4943,1030,7.32726E+17,,,
"""@TrumpTrainRider: .@realDonaldTrump Watching you on Fox with @megynkelly now. Can't wait to hear what you two talked about.""",5/17/16 20:06,4991,1091,7.32724E+17,,,
I will be live tweeting @megynkelly Show in 10 minutes. Should be interesting. Will be on Fox Network! ENJOY!,5/17/16 19:49,6826,1667,7.3272E+17,,,
"Wall Street paid for ad is a fraud, just like Crooked Hillary! Their main line had nothing to do with women, and they knew it. Apologize?",5/17/16 19:42,8524,2640,7.32718E+17,,,
"Do you think Crooked Hillary will finally close the deal? If she can't win Kentucky, she should drop out of race. System rigged!",5/17/16 19:37,12399,3763,7.32717E+17,,,
I will be live tweeting my interview with @megynkelly on the Fox Network tonight at 8! Enjoy!pic.twitter.com/nlJssZeIWm,5/17/16 17:19,21597,5457,7.32682E+17,,,
"I look forward to watching @megynkelly tonight, 8 PM ET. It will be interesting to see how she treats me?? think she will be very fair.",5/17/16 11:25,12874,3330,7.32593E+17,,,
"How can Crooked Hillary put her husband in charge of the economy when he was responsible for NAFTA, the worst economic deal in U.S. history?",5/17/16 10:21,22889,8694,7.32577E+17,,,
"Crooked Hillary said her husband is going to be in charge of the economy.If so, he should run,not her.Will he bring the ""energizer"" to D.C.?",5/17/16 10:17,14862,5472,7.32576E+17,,,
"#VoteTrump at clerk's offices & 185 ballot drop boxes in #ORPrimary!
Closes at 8pm! http://bit.ly/1TXfrExVoteTRUMP??_https://amp.twimg.com/v/b53a4f3e-1861-4ad8-9542-46fa22e9a0fb??_",5/17/16 9:58,7303,2903,7.32571E+17,,,
Crooked Hillary can't close the deal with Bernie Sanders. Will be another bad day for her!,5/17/16 8:31,12440,3832,7.32549E+17,,,
Amazing that Crooked Hillary can do a hit ad on me concerning women when her husband was the WORST abuser of woman in U.S. political history,5/17/16 7:58,37145,15042,7.32541E+17,,,
Oregon is voting today. Keep the big numbers going - VOTE TRUMP! MAKE AMERICA GREAT AGAIN!,5/17/16 7:52,12091,4149,7.32539E+17,,,
Crooked Hillary Clinton put out an ad where I am misquoted on women. Can't believe she would misrepresent the facts! My hit was on China,5/17/16 7:46,11924,3733,7.32538E+17,,,
"The pathetic new hit ad against me misrepresents the final line. ""You can tell them to go BLANK themselves"" - was about China, NOT WOMEN!",5/17/16 7:37,14256,5029,7.32535E+17,,,
"Wow, 30,000 e-mails were deleted by Crooked Hillary Clinton. She said they had to do with a wedding reception. Liar! How can she run?",5/17/16 7:29,21885,8716,7.32533E+17,,,
"""@AprilLaJune: OREGON votes today! Go vote for @realDonaldTrump and kick it BIG TIME! pic.twitter.com/SLYwyM8w1D""",5/17/16 0:40,10104,3719,7.32431E+17,,,
"What Barbara Res does not say is that she would call my company endlessly, and for years, trying to come back. I said no.",5/17/16 0:02,10103,3147,7.32421E+17,,,
"I gave a woman named Barbara Res a top N.Y. construction job, when that was unheard of, and now she is nasty. So much for a nice thank you!",5/16/16 23:46,13097,4013,7.32417E+17,,,
"""In politics, and in life, ignorance is not a virtue."" This is a primary reason that President Obama is the worst president in U.S. history!",5/16/16 21:08,24500,9808,7.32377E+17,,,
"The writer of the now proven false story in the @nytimes, Michael Barbaro, who was interviewed on CBS this morning, was unable to respond.",5/16/16 18:15,13606,4631,7.32334E+17,,,
Over 50 women were interviewed by the @nytimes yet they only wrote about 6. That?? because there were so many positive statements.,5/16/16 18:14,14434,5059,7.32333E+17,,,
"No wonder the @nytimes is failing??ho can believe what they write after the false, malicious & libelous story they did on me.",5/16/16 18:13,12280,3923,7.32333E+17,,,
The failing @nytimes is greatly embarrassed by the totally dishonest story they did on my relationship with women.,5/16/16 18:12,11845,3549,7.32333E+17,,,
"Rowanne Brewer, the most prominently depicted woman in the failing @nytimes story yesterday joined @foxandfriends.https://amp.twimg.com/v/ebf3185d-9258-407b-a53a-a92289f9e7fb??_",5/16/16 17:50,9763,4035,7.32327E+17,,,
"Thank you, Anthony @Scaramucci @WSJ ""The Entrepreneur's Case for Trump""http://www.wsj.com/articles/the-entrepreneurs-case-for-trump-1463344997?mod=trending_now_??_",5/16/16 14:19,8113,3131,7.32274E+17,,,
"With the coming forward today of the woman central to the failing @nytimes hit piece on me, we have exposed the article as a fraud!",5/16/16 11:25,16691,5773,7.3223E+17,,,
"A political commentator for @cnn, which I no longer watch, said ""Trump showed some weakness in the Repub Primaries."" I set all-time record!",5/16/16 9:24,13358,4205,7.322E+17,,,
"Wow, Rowanne Brewer, the most prominently depicted woman in the failing @nytimes story yesterday, was on @foxandfriends saying Times lied",5/16/16 9:12,13984,4718,7.32197E+17,,,
"The @nytimes is so dishonest. Their hit piece cover story on me yesterday was just blown up by Rowanne Brewer, who said it was a lie!",5/16/16 9:09,13310,4478,7.32196E+17,,,
That was an amazing interview on @foxandfriends - I hope the rest of the media picks it up to show how totally dishonest the @nytimes is!,5/16/16 7:00,12801,4292,7.32164E+17,,,
"Bernie Sanders is being treated very badly by the Dems. The system is rigged against him. He should run as an independent! Run Bernie, run.",5/16/16 6:00,26835,10015,7.32149E+17,,,
"Great new poll- thank you!
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/SZyZ8GkF23",5/15/16 22:23,24069,9690,7.32034E+17,,,
The @washingtonpost report on potential VP candidates is wrong. Marco Rubio and most others mentioned are NOT under consideration.,5/15/16 21:25,16021,6125,7.32019E+17,,,
"Thank you Georgia! See you soon!
#Trump2016pic.twitter.com/8yFd6qA4rD",5/15/16 17:26,16427,5005,7.31959E+17,,,
"The media is really on a witch-hunt against me. False reporting, and plenty of it - but we will prevail!",5/15/16 15:26,24371,8793,7.31929E+17,,,
Why did the failing @nytimes refuse to use any of the names given to them that I was so proud to have helped with their careers. DISHONEST!,5/15/16 15:11,13942,4602,7.31925E+17,,,
"Wow, I have had so many calls from high ranking people laughing at the stupidity of the failing @nytimes piece. Massive front page for that!",5/15/16 15:06,16639,5075,7.31924E+17,,,
Why doesn't the failing @nytimes write the real story on the Clintons and women? The media is TOTALLY dishonest!,5/15/16 7:32,22109,8480,7.31809E+17,,,
"""@TakingIt_Back:  @nytimes keep shining....the ppl will not let the media dim your light...we no longer believe them! #Trump2016"" Thanks.",5/15/16 7:16,11182,3504,7.31805E+17,,,
"""@tzard000: @realDonaldTrump @nytimes Everyone continues to pile onto Donald, but they can NEVER take away our votes!""  Thank you!",5/15/16 7:14,11580,3383,7.31805E+17,,,
Everyone is laughing at the @nytimes for the lame hit piece they did on me and women.I gave them many names of women I helped-refused to use,5/15/16 7:13,16459,5118,7.31805E+17,,,
"""@DistlerJoyce: @realDonaldTrump @nytimes OHIO WOMEN FOR TRUMP pic.twitter.com/wpxojJnjbb""",5/15/16 7:04,13819,4769,7.31802E+17,,,
"""@MrTohNey: Leicester & DonaldTrump seem to have the same trajectory, both were written off, but they keep scaling the heights. History?",5/15/16 7:02,7634,2182,7.31802E+17,,,
"""@QueenCharlotteO: @realDonaldTrump @nytimes I'm a women & I 100% support @realDonaldTrump & I have since the beginning. Thank you!",5/15/16 7:00,8659,2455,7.31801E+17,,,
"The failing @nytimes wrote yet another hit piece on me. All are impressed with how nicely I have treated women, they found nothing. A joke!",5/15/16 6:55,12947,3755,7.318E+17,,,
Thank you for the nice words this morning @KellyRiddell. Well delivered and totally logical! @CNN @FoxNews,5/15/16 6:49,7750,2232,7.31799E+17,,,
"""@stranahan: Sheldon Adelson Pledges $100 Million to Elect Trump President - Breitbart http://www.breitbart.com/2016-presidential-race/2016/05/14/sheldon-adelson-poised-give-donald-trump-donation-boost/??_""",5/14/16 22:06,11615,4252,7.31667E+17,,,
"Wow, @CNN is really working hard to make me look as bad  as possible. Very unprofessional. Hurting in ratings - bad television!",5/14/16 11:16,25794,8408,7.31503E+17,,,
Great new poll- thank you!pic.twitter.com/ytzesbCZas,5/14/16 11:09,32884,13035,7.31502E+17,,,
